ISO3,CountryCode,Country Name,CountryCode
PER,604,Peru,604
PHL,608,Philippines,608
PLW,585,Palau,585
PMY,459,Pen Malaysia,459
PNG,598,Papua New Guinea,598
POL,616,Poland,616
PRI,630,Puerto Rico,630
PRK,408,"Korea, Dem. Rep.",408
PRT,620,Portugal,620
PRY,600,Paraguay,600
PSE,275,Occ.Pal.Terr,275
PYF,258,French Polynesia,258
QAT,634,Qatar,634
REU,638,Reunion,638
ROM,642,Romania,642
RUS,643,Russian Federation,643
RWA,646,Rwanda,646
RYU,647,Ryukyu Is,647
SAU,682,Saudi Arabia,682
SBH,461,Sabah,461
SDN,736,Sudan,736
SEN,686,Senegal,686
SER,891,Yugoslavia,891
SGP,702,Singapore,702
SGS,239,South Georgia and the South Sa,239
SHN,654,Saint Helena,654
SIK,698,SIKKIM,698
SJM,744,Svalbard and Jan Mayen Is,744
SLB,90,Solomon Islands,90
SLE,694,Sierra Leone,694
SLV,222,El Salvador,222
SMR,674,San Marino,674
SOM,706,Somalia,706
SPE,839,Special Categories,839
SPM,666,Saint Pierre and Miquelon,666
STP,678,Sao Tome and Principe,678
SUR,740,Suriname,740
SVK,703,Slovak Republic,703
SVN,705,Slovenia,705
SVR,868,Fm Vietnam Rp,868
SVU,810,Soviet Union,810
SWE,752,Sweden,752
SWK,457,Sarawak,457
SWZ,748,Swaziland,748
SYC,690,Seychelles,690
SYR,760,Syrian Arab Republic,760
TAN,835,Fm Tanganyik,835
TCA,796,Turks and Caicos Isl.,796
TCD,148,Chad,148
TGO,768,Togo,768
THA,764,Thailand,764
TJK,762,Tajikistan,762
TKL,772,Tokelau,772
TKM,795,Turkmenistan,795
TMP,626,East Timor,626
TON,776,Tonga,776
TTO,780,Trinidad and Tobago,780
TUN,788,Tunisia,788
TUR,792,Turkey,792
TUV,798,Tuvalu,798
TWN,158,"Taiwan, China",158
TZA,834,Tanzania,834
UGA,800,Uganda,800
UKR,804,Ukraine,804
UMI,581,United States Minor Outlying I,581
UNS,898,Unspecified,898
URY,858,Uruguay,858
USA,840,United States,840
USP,849,Us Msc.Pac.I,849
UZB,860,Uzbekistan,860
VAT,336,Holy See,336
VCT,670,St. Vincent and the Grenadines,670
VDR,866,Fm Vietnam DR,866
VEN,862,Venezuela,862
VGB,92,British Virgin Islands,92
VIR,850,Virgin Islands (U.S.),850
VNM,704,Vietnam,704
VUT,548,Vanuatu,548
WAK,872,Wake Island,872
WLD,0, World,0
WLF,876,Wallis and Futura Isl.,876
WSM,882,Samoa,882
YDR,720,Yemen Democratic,720
YEM,887,Yemen,887
YUG,890,"Yugoslavia, FR (Serbia/Montene",890
ZAF,710,South Africa,710
ZAR,180,"Congo, Dem. Rep.",180
ZMB,894,Zambia,894
ZPM,836,Fm Zanz-Pemb,836
ZW1,717,Fm Rhod Nyas,717
ZWE,716,Zimbabwe,716
